"player","position","team","age","goals_assists_per90","cards_red","cards_yellow","sca","passes_completed","average_shot_distance"
"Kamaldeen Sulemana","FW","Ghana",20,0,0,1,0,10,21.8
"Kamil Glik","DF","Poland",34,0,0,0,0,118,11.6
"Kamil Grosicki","MF","Poland",34,0,0,0,2,4,NA
"Kaoru Mitoma","MF","Japan",25,0.55,0,0,9,50,21.5
"Karim Ansarifard","FW","IR Iran",32,0,0,0,3,4,21.9
"Karim Boudiaf","MF","Qatar",32,0,0,1,3,94,NA
"Karl Toko Ekambi","FW","Cameroon",30,0,0,0,6,43,15.6
"Karol ?widerski","FW","Poland",25,0,0,0,0,7,NA
"Kasper Dolberg","FW","Denmark",25,0,0,0,2,15,8.6
"Kasper Schmeichel","GK","Denmark",36,0,0,0,0,72,NA
"Keanu Baccus","MF","Australia",24,0,0,0,0,26,23.9
"Kellyn Acosta","MF","United States",27,0,0,1,1,10,NA
"Kendall Waston","DF","Costa Rica",34,0,0,0,1,57,10.5
"Kenneth Taylor","MF","Netherlands",20,0,0,0,0,8,NA
"Kevin De Bruyne","FW","Belgium",31,0,0,0,11,93,23.3
"Kevin Rodríguez","FW","Ecuador",22,0,0,0,NA,NA,NA
"Kevin ?lvarez","DF","Mexico",23,0,0,0,1,19,NA
"Keylor Navas","GK","Costa Rica",36,0,0,0,0,61,NA
"Keysher Fuller","DF","Costa Rica",28,0.36,0,0,3,44,15.5
"Kieffer Moore","FW","Wales",30,0,0,0,6,36,16.2
"Kieran Trippier","DF","England",32,0,0,0,5,165,27.2
"Kim Jin-su","DF","Korea Republic",30,0.29,0,0,7,105,11.2
"Kim Min-jae","DF","Korea Republic",26,0,0,0,1,167,8.2
"Kim Moonhwan","DF","Korea Republic",27,0,0,0,7,201,NA
"Kim Seung-gyu","GK","Korea Republic",32,0,0,0,1,93,NA
"Kim Young-gwon","DF","Korea Republic",32,0.26,0,1,5,178,10.9
"Kingsley Coman","FW","France",26,0,0,0,4,56,10.7
"Ko Itakura","DF","Japan",25,0.33,0,2,2,98,14.6
"Koke","MF","Spain",30,0,0,0,1,56,NA
"Kristijan Jaki?","FW","Croatia",25,0,0,0,0,0,NA
"Krystian Bielik","MF","Poland",24,0,0,0,1,86,15.8
"Krzysztof Pi?tek","FW","Poland",27,0,0,0,0,2,15.6
"Krépin Diatta","FW","Senegal",23,0,0,0,4,60,16.5
"Kudus Mohammed","FW","Ghana",22,0.73,0,1,5,62,21.8
"Kwon Chang-hoon","FW","Korea Republic",28,0,0,0,2,19,NA
"Kwon Kyung-won","DF","Korea Republic",30,0,0,0,0,39,33.8
"Kye Rowles","DF","Australia",24,0,0,0,1,165,NA
"Kyle Walker","DF","England",32,0,0,0,3,162,NA
"Kylian Mbappé","FW","France",23,1.51,0,0,46,173,17.1
"Lautaro Martínez","FW","Argentina",25,0,0,0,7,46,12.6
"Lawrence Ati-Zigi","GK","Ghana",26,0,0,0,0,54,NA
"Leander Dendoncker","DF","Belgium",27,0,0,1,3,119,9.6
"Leandro Paredes","MF","Argentina",28,0,0,2,7,230,30.6
"Leandro Trossard","FW","Belgium",28,0,0,0,3,43,NA
"Lee Jae-sung","MF","Korea Republic",30,0,0,0,4,84,26.8
"Lee Kangin","MF","Korea Republic",21,0.61,0,1,13,62,25.9
"Leon Goretzka","MF","Germany",27,0,0,1,1,42,16.7
"Leroy Sané","FW","Germany",26,0.81,0,0,7,47,25.4
"Liam Millar","DF","Canada",23,0,0,0,0,4,NA
"Lionel Messi","FW","Argentina",35,1.3,0,1,43,301,21
"Lisandro Martínez","DF","Argentina",24,0,0,1,2,133,10.1
"Lovro Majer","MF","Croatia",24,0.69,0,0,5,78,23.2
"Loïs Openda","FW","Belgium",22,0,0,0,2,3,NA
"Lucas Cavallini","FW","Canada",29,0,0,0,0,2,NA
"Lucas Hernández","DF","France",26,0,0,0,0,5,NA
"Lucas Paquetá","MF","Brazil",25,0.57,0,0,9,169,11.7
"Luis Chávez","MF","Mexico",26,0.33,0,0,14,99,31.4
"Luis Suárez","FW","Uruguay",35,0.62,0,1,3,25,7.5
"Luka Jovi?","FW","Serbia",24,0,0,1,1,6,17.6
"Luka Modri?","MF","Croatia",37,0,0,1,21,465,21.1
"Lukas Klostermann","DF","Germany",26,0,0,0,1,51,NA
"Luke Shaw","DF","England",27,0.21,0,0,13,335,23.1
"Luuk de Jong","FW","Netherlands",32,0,0,0,1,8,13
"Majid Hosseini","DF","IR Iran",26,0,0,1,1,86,NA
"Manuel Akanji","DF","Switzerland",27,0.25,0,1,2,229,12.3
"Manuel Neuer","GK","Germany",36,0,0,0,0,115,NA
"Marcelo Brozovi?","MF","Croatia",30,0,0,1,10,466,17.4
"Marco Asensio","FW","Spain",26,0.39,0,0,2,89,20.1
"Marcos Acuña","DF","Argentina",31,0,0,3,7,167,17.9
"Marcos Llorente","DF","Spain",27,0,0,0,3,95,22.4
"Marcus Rashford","FW","England",25,1.93,0,0,3,49,16.6
"Marcus Thuram","FW","France",25,1.19,0,1,4,27,5.4
"Mario Götze","MF","Germany",30,0,0,0,4,21,14.3
"Mario Pašali?","FW","Croatia",27,0,0,0,4,76,7.8
"Mark-Anthony Kaye","MF","Canada",28,0,0,0,0,51,25.5
"Marko Gruji?","MF","Serbia",26,0,0,0,1,14,29.6
"Marko Livaja","FW","Croatia",29,0.75,0,0,3,35,15.1
"Marquinhos","DF","Brazil",28,0,0,1,9,352,10.4
"Marten de Roon","MF","Netherlands",31,0,0,0,1,97,NA
"Martin Braithwaite","FW","Denmark",31,0,0,0,3,14,11.5
"Martin Hongla","MF","Cameroon",24,0,0,0,5,49,13
"Martinelli","FW","Brazil",21,0,0,0,8,34,13.2
"Martín Cáceres","DF","Uruguay",35,0,0,1,1,68,NA
"Mason Mount","MF","England",23,0,0,0,2,61,23
"Mateo Kova?i?","MF","Croatia",28,0,0,2,17,415,17
"Matheus Nunes","MF","Portugal",24,0,0,0,1,28,30.8
"Mathew Leckie","MF","Australia",31,0.54,0,0,6,67,13.6
"Mathew Ryan","GK","Australia",30,0,0,0,1,113,NA
"Mathias Jensen","MF","Denmark",26,0,0,1,5,52,17.9
"Mathías Olivera","DF","Uruguay",25,0,0,1,9,104,16.9
"Matt Turner","GK","United States",28,0,0,0,0,101,NA
"Matthias Ginter","DF","Germany",28,0,0,0,0,3,NA
"Matthijs de Ligt","DF","Netherlands",23,0,0,1,1,41,NA
"Matty Cash","DF","Poland",25,0,0,2,4,123,24.2
"Mattéo Guendouzi","FW","France",23,0,0,0,0,27,NA
"Matías Vecino","MF","Uruguay",31,0,0,0,1,76,10.1
"Matías Viña","DF","Uruguay",25,0,0,0,0,11,NA
"Maxi Gómez","FW","Uruguay",26,0,0,0,1,5,26.1
"Maya Yoshida","DF","Japan",34,0.23,0,1,3,198,NA
"Mehdi Taremi","FW","IR Iran",30,1,0,0,11,58,16
"Mehdi Torabi","MF","IR Iran",28,0,0,0,5,30,19.6
"Memphis","FW","Netherlands",28,0.3,0,1,5,93,15
"Meshaal Barsham","GK","Qatar",24,0,0,0,1,45,NA
"Michael Estrada","FW","Ecuador",26,0,0,0,4,28,13
"Micha? Skóra?","MF","Poland",22,0,0,0,1,8,22.2
"Michel Aebischer","MF","Switzerland",25,0,0,0,0,2,NA
"Michy Batshuayi","FW","Belgium",29,0.6,0,0,2,16,15.4
"Miki Yamane","DF","Japan",28,0,0,1,1,24,NA
"Mikkel Damsgaard","MF","Denmark",22,0,0,0,3,55,NA
"Milad Mohammadi","DF","IR Iran",29,0,0,0,0,44,NA
"Milan Borjan","GK","Canada",35,0,0,0,1,76,NA
"Miloš Degenek","DF","Australia",28,0,0,2,0,67,NA
"Miloš Veljkovi?","DF","Serbia",27,0,0,0,1,98,NA
"Mislav Orši?","FW","Croatia",29,1.67,0,0,7,40,22.5
"Mitchell Duke","FW","Australia",31,0.33,0,1,5,36,17.6
"Mohamed Ali Ben Romdhane","MF","Tunisia",23,0,0,0,0,14,NA
"Mohamed Dräger","DF","Tunisia",26,0,0,0,6,36,25.8
"Mohamed Kanno","MF","Saudi Arabia",28,0,0,0,5,119,20.3
"Mohammed Al-Breik","DF","Saudi Arabia",30,0,0,0,1,39,20.4
"Mohammed Al-Owais","GK","Saudi Arabia",31,0,0,1,1,57,NA
"Mohammed Muntari","FW","Qatar",28,1.43,0,0,1,17,13.7
"Mohammed Salisu","DF","Ghana",23,0.33,0,0,4,109,9.3
"Mohammed Waad","MF","Qatar",23,0,0,0,1,9,NA
"Moisés Caicedo","MF","Ecuador",21,0.33,0,1,5,126,16
"Montassar Talbi","DF","Tunisia",24,0,0,0,0,118,33.7
"Morteza Pouraliganji","DF","IR Iran",30,0,0,1,5,92,16.8
"Moumi Ngamaleu","FW","Cameroon",28,0,0,0,2,21,NA
"Munir","GK","Morocco",33,0,0,0,0,19,NA
"Musab Kheder","DF","Qatar",29,0,0,0,0,3,NA
"Na Sang-ho","FW","Korea Republic",26,0,0,0,4,24,10.6
"Nader Ghandri","DF","Tunisia",27,0,0,0,0,27,NA
"Nahuel Molina","DF","Argentina",24,0.32,0,0,10,291,16.2
"Nampalys Mendy","MF","Senegal",30,0,0,1,6,141,22.6
"Nasser Al-Dawsari","FW","Saudi Arabia",23,0,0,0,1,11,NA
"Nathan Aké","DF","Netherlands",27,0,0,1,1,315,NA
"Nathaniel Atkinson","DF","Australia",23,0,0,0,0,27,NA
"Nawaf Al Abed","MF","Saudi Arabia",32,0,0,1,3,33,21.1
"Nayef Aguerd","DF","Morocco",26,0,0,0,3,137,8
"Naïm Sliti","MF","Tunisia",30,0,0,0,5,29,10.3
"Neco Williams","DF","Wales",21,0,0,0,3,69,26.5
"Nemanja Gudelj","MF","Serbia",31,0,0,2,0,44,NA
"Nemanja Maksimovi?","MF","Serbia",27,0,0,0,4,50,NA
"Nemanja Radonji?","DF","Serbia",26,0,0,0,1,15,22.3
"Neymar","MF","Brazil",30,0.65,0,0,15,121,19.2
"Niclas Füllkrug","FW","Germany",29,3.91,0,0,4,15,10
"Nico Elvedi","DF","Switzerland",26,0,0,1,1,131,9.3
"Nico Schlotterbeck","DF","Germany",23,0,0,0,3,110,NA
"Nico Williams","FW","Spain",20,0,0,0,1,50,14.3
"Nicola Zalewski","MF","Poland",20,0,0,0,0,15,NA
"Nicolas Jackson","FW","Senegal",21,0,0,0,2,9,NA
"Nicolas Nkoulou","DF","Cameroon",32,0.5,0,1,2,79,12.2
"Nicolás De La Cruz","MF","Uruguay",25,0,0,0,2,20,32.4
"Nicolás Otamendi","DF","Argentina",34,0.13,0,2,4,532,12.3
"Nicolás Tagliafico","DF","Argentina",30,0,0,0,4,145,11.3
"Niklas Süle","DF","Germany",27,0,0,0,4,231,5.4
"Nikola Milenkovi?","DF","Serbia",25,0,0,2,2,141,14.7
"Nikola Vlaši?","FW","Croatia",25,0,0,0,4,45,17.2
"Noa Lang","MF","Netherlands",23,0,0,1,0,1,NA
"Noah Okafor","FW","Switzerland",22,0,0,0,1,17,17.5
"Nouhou Tolo","DF","Cameroon",25,0,0,1,1,83,NA
"Noussair Mazraoui","DF","Morocco",25,0,0,0,2,98,24.4
"Nuno Mendes","DF","Portugal",20,0,0,0,5,29,NA
"Néstor Araujo","DF","Mexico",31,0,0,1,0,44,NA
"Olivier Giroud","FW","France",36,0.86,0,1,5,48,11
"Olivier Ntcham","MF","Cameroon",26,0,0,0,3,11,30
"Orbelín Pineda","MF","Mexico",26,0,0,0,1,18,15.1
"Osman Bukari","MF","Ghana",24,1.53,0,0,1,14,17.6
"Otávio","MF","Portugal",27,0,0,0,7,98,23.2
"Ousmane Dembélé","FW","France",25,0.42,0,1,17,144,20.2
"Pablo Sarabia","FW","Spain",30,0,0,0,2,2,4.7
"Paik Seung-ho","MF","Korea Republic",25,3.46,0,0,1,20,30.4
"Pape Abou Cissé","DF","Senegal",27,0,0,0,1,28,NA
"Pape Gueye","MF","Senegal",23,0,0,0,3,45,24.8
"Pape Matar Sarr","MF","Senegal",20,0,0,0,2,36,30.8
"Papu Gómez","MF","Argentina",34,0,0,0,1,53,26.3
"Pathé Ciss","MF","Senegal",28,0,0,1,1,46,12.8
"Pau Torres","DF","Spain",25,0,0,0,2,174,NA
"Paulo Dybala","FW","Argentina",29,0,0,0,1,8,NA
"Pedri","MF","Spain",20,0,0,0,14,393,NA
"Pedro","FW","Brazil",25,0,0,0,0,10,12.9
"Pepe","DF","Portugal",39,0.25,0,0,3,243,7.3
"Pervis Estupiñán","DF","Ecuador",24,0,0,0,12,148,14.4
"Phil Foden","FW","England",22,1.05,0,0,10,90,13.8
"Piero Hincapié","DF","Ecuador",20,0,0,0,2,168,NA
"Pierre Højbjerg","MF","Denmark",27,0,0,0,2,200,30.7
"Pierre Kunde","MF","Cameroon",27,0,0,1,3,38,22.1
"Piotr Zieli?ski","MF","Poland",28,0.27,0,0,12,124,11.3
"Przemys?aw Frankowski","MF","Poland",27,0,0,1,5,49,15.6
"Rafael Leão","FW","Portugal",23,2.05,0,0,5,32,21.2
"Raheem Sterling","FW","England",28,1.21,0,0,4,45,9.3
"Ramin Rezaeian","DF","IR Iran",32,0.5,0,1,8,73,18.3
"Randal Kolo Muani","FW","France",24,0.49,0,0,1,25,13.4
"Raphaël Guerreiro","DF","Portugal",28,0.97,0,0,11,156,17.7
"Raphaël Varane","DF","France",29,0,0,0,2,256,7.2
"Raphinha","FW","Brazil",26,0.29,0,0,19,111,19.1
"Rasmus Nissen","DF","Denmark",25,0,0,1,5,137,NA
"Raúl Jiménez","FW","Mexico",31,0,0,0,0,20,NA
"Remo Freuler","MF","Switzerland",30,0.28,0,0,7,127,10.3
"Renato Steffen","FW","Switzerland",31,0,0,0,0,13,NA
"Ricardo Horta","FW","Portugal",28,0.76,0,0,3,31,13.5
"Ricardo Rodríguez","DF","Switzerland",30,0,0,0,4,164,NA
"Richarlison","FW","Brazil",25,0.84,0,0,7,40,12.1
"Richie Laryea","DF","Canada",27,0,0,0,5,35,17.8
"Riley McGree","FW","Australia",24,0.34,0,0,5,57,26.2
"Ritsu Doan","FW","Japan",24,0.83,0,0,5,36,20.1
"Riyadh Sharahili","MF","Saudi Arabia",29,0,0,0,1,14,NA
"Roan Wilson","MF","Costa Rica",20,0,0,0,0,4,NA
"Robert Lewandowski","FW","Poland",34,0.75,0,0,14,61,18.1
"Robert Skov","DF","Denmark",26,0,0,1,0,17,NA
"Roberto Alvarado","FW","Mexico",24,0,0,1,0,5,NA
"Rodri","DF","Spain",26,0,0,0,9,642,36.2
"Rodrigo Bentancur","MF","Uruguay",25,0,0,1,8,136,15.8
"Rodrigo De Paul","MF","Argentina",28,0,0,0,19,470,20.5
"Rodrygo","MF","Brazil",21,0.5,0,0,16,91,18.7
"Rogelio Funes Mori","FW","Mexico",31,0,0,0,1,0,22.6
"Romain Saïss","DF","Morocco",32,0.19,0,1,1,159,0.9
"Romario Ibarra","MF","Ecuador",28,0,0,0,1,10,23.2
"Romelu Lukaku","FW","Belgium",29,0,0,0,1,6,6.6
"Roozbeh Cheshmi","DF","IR Iran",29,1.55,0,0,0,7,28.1
"Ruben Vargas","FW","Switzerland",24,0.32,0,1,7,80,17
"Rubin Colwill","MF","Wales",20,0,0,0,2,2,25.1
"Ró-Ró","DF","Qatar",32,0,0,0,1,78,23
"Rónald Matarrita","DF","Costa Rica",28,0,0,0,0,18,NA
"Rúben Dias","DF","Portugal",25,0,0,1,2,248,12
"Rúben Neves","MF","Portugal",25,0,0,1,6,235,27
"Saad Al Sheeb","GK","Qatar",32,0,0,1,0,18,NA
"Sadegh Moharrami","DF","IR Iran",26,0,0,0,1,18,NA
"Saeid Ezatolahi","MF","IR Iran",26,0,0,0,4,66,29.4
"Saleh Al-Shehri","FW","Saudi Arabia",29,0.4,0,1,2,29,21
"Salem Al-Dawsari","MF","Saudi Arabia",31,0.67,0,1,15,86,21.6
"Salis Abdul Samed","MF","Ghana",22,0,0,0,4,129,26.9
"Salman Al-Faraj","MF","Saudi Arabia",33,0,0,0,0,12,NA
"Sam Adekugbe","DF","Canada",27,0,0,1,2,63,NA
"Saman Ghoddos","MF","IR Iran",29,0,0,0,1,15,6.4
"Sami Al-Najei","MF","Saudi Arabia",25,0,0,0,0,13,NA
"Samuel Oum Gouet","MF","Cameroon",25,0,0,0,1,52,NA
"Sardar Azmoun","FW","IR Iran",27,0,0,0,3,18,13.9
"Saud Abdulhamid","DF","Saudi Arabia",23,0,0,1,8,88,34.6
"Saša Luki?","MF","Serbia",26,0,0,2,2,143,16.1
"Sebastian Szyma?ski","MF","Poland",23,0,0,0,1,26,NA
"Sebastián Coates","DF","Uruguay",32,0,0,1,1,76,11.5
"Selim Amallah","MF","Morocco",26,0,0,1,8,65,13.3
"Serge Gnabry","FW","Germany",27,0.68,0,0,12,86,15.6
"Sergej Milinkovi?-Savi?","MF","Serbia",27,0.39,0,1,4,87,23.9
"Sergio Busquets","MF","Spain",34,0,0,1,11,261,20.9
"Sergio Rochet","GK","Uruguay",29,0,0,0,0,54,NA
"Sergiño Dest","DF","United States",22,0.3,0,1,7,172,19.8
"Shaquell Moore","DF","United States",26,0,0,0,0,14,NA
"Shogo Taniguchi","DF","Japan",31,0,0,1,0,72,8
"Shūichi Gonda","GK","Japan",33,0,0,0,0,68,NA
"Silvan Widmer","DF","Switzerland",29,0.34,0,1,5,127,9.7
"Simon Kjær","DF","Denmark",33,0,0,0,0,50,NA
"Sofiane Boufal","FW","Morocco",29,0,0,1,15,99,21
"Sofyan Amrabat","MF","Morocco",26,0,0,1,6,269,28.8
"Son Heung-min","FW","Korea Republic",30,0.25,0,0,16,77,18.8
"Son Jun-ho","MF","Korea Republic",30,0,0,0,3,55,NA
"Sorba Thomas","MF","Wales",23,0,0,0,0,3,NA
"Sr?an Babi?","DF","Serbia",26,0,0,0,0,10,NA
"Stefan Mitrovi?","DF","Serbia",32,0,0,0,0,18,NA
"Stephen Eustáquio","MF","Canada",25,0,0,0,6,83,19.8
"Steve Mandanda","GK","France",37,0,0,0,0,19,NA
"Steven Berghuis","MF","Netherlands",30,0.45,0,1,3,97,22.5
"Steven Bergwijn","FW","Netherlands",25,0,0,1,2,64,15.5
"Steven Vitória","DF","Canada",35,0,0,1,0,160,NA
"Strahinja Pavlovi?","DF","Serbia",21,0.38,0,2,2,121,10
"Sultan Al-Ghanam","DF","Saudi Arabia",28,0,0,0,1,34,7.6
"Taha Yassine Khenissi","FW","Tunisia",30,0,0,1,1,2,23.3
"Tajon Buchanan","MF","Canada",23,0.35,0,1,9,61,15
"Takefusa Kubo","FW","Japan",21,0,0,0,1,6,NA
"Takehiro Tomiyasu","DF","Japan",24,0,0,0,5,73,NA
"Takuma Asano","FW","Japan",28,0.55,0,0,3,21,13.2
"Takumi Minamino","FW","Japan",27,0,0,0,1,14,15.1
"Tarek Salman","DF","Qatar",25,0,0,0,0,7,NA
"Tariq Lamptey","DF","Ghana",22,0,0,1,0,21,15.8
"Teun Koopmeiners","MF","Netherlands",24,0.41,0,1,4,90,27.6
"Theo Hernández","DF","France",25,0.53,0,1,17,289,16.7
"Thiago Almada","MF","Argentina",21,0,0,0,1,13,NA
"Thiago Silva","DF","Brazil",38,0.23,0,0,10,322,8
"Thibaut Courtois","GK","Belgium",30,0,0,0,1,108,NA
"Thilo Kehrer","DF","Germany",26,0,0,1,1,22,NA
"Thomas Delaney","MF","Denmark",31,0,0,0,0,24,NA
"Thomas Meunier","DF","Belgium",31,0,0,1,7,110,19.6
"Thomas Müller","FW","Germany",33,0,0,0,10,56,11.3
"Thomas Partey","MF","Ghana",29,0,0,0,6,146,16.8
"Thorgan Hazard","FW","Belgium",29,0,0,0,9,40,NA
"Tim Ream","DF","United States",35,0,0,1,2,245,3.7
"Timothy Castagne","DF","Belgium",27,0,0,0,1,176,NA
"Timothy Weah","FW","United States",22,0.28,0,0,7,90,17.5
"Toby Alderweireld","DF","Belgium",33,0.33,0,0,3,248,NA
"Trent Alexander-Arnold","DF","England",24,0,0,0,0,21,NA
"Tyler Adams","MF","United States",23,0,0,1,3,241,30.4
"Unai Simón","GK","Spain",25,0,0,0,0,150,NA
"Uriel Antuna","FW","Mexico",25,0,0,0,1,12,16.2
"Vanja Milinkovi?-Savi?","GK","Serbia",25,0,0,0,0,90,NA
"Victor Nelsson","DF","Denmark",24,0,0,0,1,69,NA
"Vincent Aboubakar","FW","Cameroon",30,1.9,1,2,7,20,17.8
"Vincent Janssen","FW","Netherlands",28,0,0,0,3,16,21
"Vinicius Júnior","FW","Brazil",22,0.9,0,0,16,68,15
"Virgil van Dijk","DF","Netherlands",31,0,0,0,4,311,10.6
"Vitinha","MF","Portugal",22,0,0,1,4,100,28.2
"Wahbi Khazri","FW","Tunisia",31,1.08,0,0,0,13,19.1
"Wajdi Kechrida","DF","Tunisia",27,0,0,1,4,44,NA
"Walid Cheddira","FW","Morocco",24,0,1,2,0,4,9.8
"Walker Zimmerman","DF","United States",29,0,0,0,3,217,15
"Wataru Endo","MF","Japan",29,0,0,1,10,155,25.5
"Wayne Hennessey","GK","Wales",35,0,1,0,0,50,NA
"Weston McKennie","MF","United States",24,0,0,1,12,117,15.5
"William Carvalho","MF","Portugal",30,0,0,0,1,156,15.8
"William Saliba","DF","France",21,0,0,0,1,37,NA
"Wojciech Szcz?sny","GK","Poland",32,0,0,0,0,84,NA
"Wout Weghorst","FW","Netherlands",30,2.81,0,1,2,9,12
"Wéverton","GK","Brazil",35,0,0,0,0,3,NA
"Xavi Simons","FW","Netherlands",19,0,0,0,0,6,NA
"Xherdan Shaqiri","FW","Switzerland",31,0.79,0,0,6,67,21.9
"Yahya Attiat Allah","DF","Morocco",27,0.28,0,0,7,98,13
"Yahya Jabrane","MF","Morocco",31,0,0,0,NA,NA,NA
"Yann Sommer","GK","Switzerland",34,0,0,0,1,108,NA
"Yannick Carrasco","FW","Belgium",29,0,0,1,4,39,13.9
"Yasser Al-Shahrani","DF","Saudi Arabia",30,0,0,0,0,13,NA
"Yassine Bounou","GK","Morocco",31,0,0,0,0,154,NA
"Yassine Meriah","DF","Tunisia",29,0,0,0,3,139,9.3
"Yeltsin Tejeda","MF","Costa Rica",30,0.67,0,0,3,78,15.1
"Youri Tielemans","MF","Belgium",25,0,0,0,2,53,NA
"Youssef En-Nesyri","FW","Morocco",25,0.33,0,0,3,50,9.1
"Youssef Msakni","MF","Tunisia",32,0,0,0,7,50,16
"Youssouf Fofana","MF","France",23,0,0,0,3,96,21.1
"Youssouf Sabaly","DF","Senegal",29,0,0,0,15,189,30.9
"Youssoufa Moukoko","FW","Germany",18,0,0,0,0,1,NA
"Youstin Salas","DF","Costa Rica",26,0,0,0,1,15,NA
"Yuki Soma","FW","Japan",25,0,0,0,0,11,22.7
"Yunus Musah","MF","United States",20,0,0,0,10,151,22.9
"Yuto Nagatomo","MF","Japan",36,0,0,0,2,78,NA
"Zakaria Aboukhlal","FW","Morocco",22,1.14,0,0,1,7,14.9
"?lvaro Morata","FW","Spain",30,1.95,0,0,4,28,10.3
"?lvaro Zamora","MF","Costa Rica",20,0,0,0,0,5,NA
"?ngel Correa","MF","Argentina",27,0,0,0,0,3,NA
"?ngel Di María","MF","Argentina",34,0.62,0,0,21,130,20.7
"?ngelo Preciado","DF","Ecuador",24,0.34,0,0,5,94,26.1
"?der Militão","DF","Brazil",24,0,0,1,6,251,20.2
"?scar Duarte","DF","Costa Rica",33,0,0,1,1,68,NA
"İlkay Gündo?an","MF","Germany",32,0.48,0,0,6,150,25.9
