"","sca","position","tackles_def_3rd","tackles_mid_3rd","touches_att_pen_area","dribbles_completed","passes_received","progressive_passes_received","shots_free_kicks"
"1",5,"MF",4,4,0,2,152,1,0
"2",3,"MF",0,2,5,2,98,7,0
"3",4,"MF",1,1,1,0,40,0,1
"4",4,"DF",5,2,2,1,138,1,0
"5",0,"FW",0,0,1,0,15,3,0
"6",1,"FW",2,1,2,0,13,1,0
"7",2,"DF",2,0,1,0,138,0,0
"8",0,"FW",0,0,0,0,1,0,0
"9",2,"MF",0,0,0,1,80,2,0
"10",0,"DF",1,0,2,0,63,0,0
"11",2,"MF",3,0,1,0,58,2,0
"12",0,"DF",1,0,0,0,6,0,0
"13",1,"MF",2,1,2,0,12,4,0
"14",1,"DF",0,0,0,1,18,1,0
"15",9,"DF",10,6,6,1,137,7,1
"16",8,"MF",3,5,15,1,174,14,0
"17",0,"MF",1,0,0,0,6,0,0
"18",0,"MF",1,1,0,1,39,1,0
"19",0,"FW",0,0,0,0,1,0,0
"20",0,"GK",0,0,0,0,34,0,0
"21",0,"MF",1,1,1,1,21,4,0
"22",7,"FW",0,0,2,3,141,10,0
"23",0,"MF",0,1,0,0,9,0,0
"24",2,"DF",2,2,3,0,109,4,0
"25",3,"FW",0,0,14,1,67,12,0
"26",6,"DF",6,2,0,1,118,4,0
"27",1,"DF",0,1,1,0,32,0,0
"28",4,"DF",2,1,3,0,36,2,0
"29",1,"DF",1,0,0,0,18,0,0
"30",8,"MF",2,4,5,1,123,12,0
"31",4,"FW",0,0,8,1,50,9,1
"32",3,"DF",5,2,3,1,67,11,0
"33",0,"MF",0,2,1,0,5,0,0
"34",0,"DF",2,2,0,0,65,0,0
"35",1,"MF",0,0,0,1,22,0,0
"36",7,"MF",0,0,3,4,51,7,0
"37",1,"MF",3,0,1,0,36,3,0
"38",2,"DF",0,1,0,0,34,3,0
"39",2,"DF",5,1,1,4,49,0,0
"40",0,"GK",0,0,0,0,17,0,0
"41",4,"MF",0,1,1,1,13,3,0
"42",0,"GK",0,0,0,0,27,0,0
"43",8,"DF",5,0,5,1,121,4,0
"44",0,"FW",0,0,6,0,48,8,0
"45",8,"MF",0,1,7,11,94,15,1
"46",0,"MF",2,2,3,1,59,1,0
"47",0,"MF",3,0,3,4,117,3,0
"48",2,"DF",1,3,2,0,217,1,0
"49",5,"FW",0,0,11,1,41,15,0
"50",3,"FW",0,0,13,0,59,19,0
"51",6,"FW",0,0,12,3,99,18,0
"52",1,"GK",0,0,0,0,68,0,0
"53",7,"DF",2,2,3,0,72,4,0
"54",0,"MF",0,4,4,0,35,5,0
"55",0,"GK",0,0,0,0,32,0,0
"56",3,"FW",0,0,1,0,12,4,0
"57",0,"MF",0,4,0,0,10,0,0
"58",7,"MF",2,1,5,0,47,8,0
"59",0,"FW",0,0,4,0,28,5,0
"60",1,"FW",0,1,2,0,4,2,0
"61",1,"FW",3,2,2,0,20,1,0
"62",22,"MF",4,3,11,2,168,12,1
"63",0,"FW",0,0,2,0,2,2,0
"64",8,"DF",5,0,3,4,165,13,0
"65",4,"DF",1,1,4,0,215,0,0
"66",4,"FW",2,0,5,3,79,9,0
"67",1,"DF",0,1,0,0,49,0,0
"68",2,"MF",3,0,3,0,55,7,0
"69",0,"FW",0,0,0,0,5,0,0
"70",2,"FW",0,0,3,1,31,4,0
"71",0,"DF",0,0,0,0,3,0,0
"72",0,"FW",0,0,0,0,1,0,0
"73",2,"MF",3,3,0,0,46,1,0
"74",2,"MF",4,0,2,1,90,0,0
"75",10,"MF",2,5,3,0,282,4,0
"76",0,"MF",0,0,1,0,13,0,0
"77",0,"DF",1,2,2,1,50,0,0
"78",2,"MF",1,3,1,0,140,2,0
"79",1,"FW",0,0,1,0,15,5,0
"80",3,"DF",2,0,2,0,391,1,0
"81",6,"DF",5,3,6,8,139,4,0
"82",5,"MF",4,4,4,4,121,6,0
"83",4,"MF",3,0,6,1,92,9,0
"84",5,"DF",1,2,2,1,68,3,0
"85",0,"DF",0,0,0,0,0,0,0
"86",0,"DF",0,0,0,0,2,0,0
"87",4,"FW",1,1,3,0,22,2,1
"88",1,"DF",6,0,3,1,86,4,0
"89",1,"DF",0,0,0,1,47,0,0
"90",4,"DF",0,2,3,2,101,1,0
"91",1,"DF",0,0,0,0,72,0,0
"92",11,"MF",0,1,7,1,155,9,0
"93",2,"DF",0,1,2,0,44,1,0
"94",3,"DF",5,1,3,2,154,6,0
"95",1,"DF",2,0,4,0,155,0,0
"96",5,"FW",0,1,11,1,56,21,0
"97",0,"MF",2,0,0,2,31,3,0
"98",6,"FW",0,0,10,2,76,23,0
"99",3,"MF",1,1,7,2,53,4,0
"100",1,"FW",0,0,7,0,17,4,0
"101",9,"FW",2,1,6,0,141,11,0
"102",1,"MF",0,0,7,2,53,2,0
"103",2,"FW",0,3,7,0,49,5,0
"104",8,"FW",0,0,4,1,76,11,0
"105",0,"DF",3,2,1,0,60,4,0
"106",0,"MF",0,1,0,1,9,0,0
"107",4,"FW",0,2,13,1,82,17,0
"108",4,"FW",0,0,2,0,13,6,0
"109",2,"DF",0,0,0,0,42,0,0
"110",0,"MF",0,2,0,0,15,0,0
"111",0,"DF",0,1,0,0,8,0,0
"112",4,"MF",0,0,3,1,74,3,1
"113",5,"MF",3,4,1,0,145,3,0
"114",1,"MF",2,3,0,2,83,1,0
"115",0,"FW",0,0,1,0,5,0,0
"116",0,"MF",0,0,0,2,26,1,0
"117",2,"MF",0,0,0,1,18,2,0
"118",4,"FW",0,0,12,0,66,14,0
"119",0,"FW",0,0,0,0,0,0,0
"120",3,"DF",3,5,2,0,130,0,0
"121",0,"MF",0,0,3,2,9,3,0
"122",10,"MF",0,1,7,0,176,12,0
"123",0,"FW",0,0,1,2,7,3,0
"124",1,"MF",0,0,0,0,12,1,0
"125",14,"FW",0,0,23,4,137,19,0
"126",0,"DF",0,1,1,0,28,0,0
"127",13,"FW",2,2,5,5,96,11,0
"128",4,"DF",2,2,0,0,86,2,0
"129",6,"DF",2,1,0,0,81,7,0
"130",5,"MF",1,2,4,0,74,8,0
"131",1,"DF",2,0,3,1,185,1,0
"132",9,"FW",0,0,15,0,87,22,2
"133",5,"FW",0,0,7,1,33,7,0
"134",4,"DF",1,0,0,0,149,0,0
"135",3,"DF",2,4,3,2,158,1,0
"136",7,"FW",2,4,4,3,93,14,1
"137",1,"FW",1,2,7,0,13,5,0
"138",4,"DF",6,3,7,1,211,7,0
"139",0,"MF",0,0,0,0,8,0,0
"140",4,"DF",2,2,1,1,71,4,1
"141",1,"DF",1,0,0,0,91,3,0
"142",12,"FW",0,3,18,4,200,40,0
"143",3,"DF",5,1,1,1,118,1,0
"144",0,"MF",0,0,0,0,1,0,0
"145",2,"FW",0,0,2,1,35,7,0
"146",1,"MF",1,1,0,2,18,2,0
"147",4,"DF",1,0,1,1,130,5,0
"148",1,"DF",1,1,0,1,65,0,0
"149",0,"GK",0,0,0,0,20,0,0
"150",0,"DF",0,0,0,0,8,0,0
"151",8,"FW",1,2,5,0,61,24,0
"152",14,"DF",4,1,6,2,138,13,0
"153",0,"MF",0,0,0,1,7,0,0
"154",7,"MF",2,1,6,0,65,9,0
"155",13,"DF",8,1,1,0,198,1,0
"156",2,"DF",1,1,2,0,15,1,0
"157",3,"MF",0,2,1,0,218,2,0
"158",2,"DF",4,1,2,0,242,1,0
"159",0,"DF",1,0,0,0,1,0,0
"160",1,"MF",0,0,0,0,20,2,0
"161",5,"DF",5,1,10,0,141,13,0
"162",0,"GK",0,0,0,0,32,0,0
"163",0,"DF",0,0,1,0,78,1,0
"164",1,"GK",1,0,0,0,80,0,0
"165",7,"DF",6,1,3,1,75,0,0
"166",5,"MF",0,2,3,0,88,11,0
"167",0,"FW",0,0,0,0,4,2,0
"168",0,"GK",0,0,0,0,59,0,0
"169",5,"MF",1,1,5,1,28,7,0
"170",14,"MF",0,4,8,3,114,14,0
"171",0,"FW",1,0,3,0,13,3,0
"172",2,"DF",1,2,1,0,70,1,0
"173",5,"MF",0,0,2,5,56,4,0
"174",1,"GK",0,0,0,0,14,0,0
"175",3,"FW",1,0,1,0,57,5,0
"176",5,"FW",0,0,5,1,34,5,0
"177",1,"GK",0,0,0,0,55,0,0
"178",4,"MF",2,1,0,1,72,0,0
"179",0,"DF",5,4,0,0,62,3,0
"180",3,"MF",2,3,2,0,68,2,0
"181",5,"MF",4,6,1,1,94,4,0
"182",0,"GK",0,0,0,0,51,0,0
"183",7,"FW",0,2,13,2,71,13,1
"184",0,"DF",4,0,0,0,29,0,0
"185",8,"MF",6,1,2,1,223,1,0
"186",1,"DF",0,0,0,0,37,1,0
"187",0,"DF",0,1,0,0,35,0,0
"188",5,"FW",1,3,9,3,62,7,0
"189",1,"MF",0,1,0,0,26,1,0
"190",4,"MF",1,3,0,2,104,4,0
"191",2,"MF",1,0,3,0,17,5,0
"192",3,"MF",0,0,1,0,9,0,0
"193",0,"MF",1,0,0,0,13,1,0
"194",1,"FW",1,1,1,1,19,2,0
"195",6,"DF",1,1,1,0,56,0,0
"196",4,"MF",1,2,0,0,40,0,0
"197",3,"MF",0,1,7,0,48,9,0
"198",3,"FW",0,0,5,0,20,0,0
"199",14,"MF",3,4,4,1,152,4,0
"200",3,"MF",0,2,0,2,27,2,0
"201",2,"FW",0,0,12,1,98,14,0
"202",5,"DF",2,1,10,0,72,12,0
"203",0,"DF",0,0,1,0,14,2,0
"204",2,"MF",0,0,1,0,6,2,0
"205",2,"MF",2,0,9,1,63,9,0
"206",0,"DF",0,0,1,0,6,0,0
"207",2,"DF",2,0,1,0,22,0,0
"208",1,"DF",6,1,0,2,76,0,0
"209",5,"MF",0,1,2,0,66,6,0
"210",9,"MF",4,5,3,3,226,4,0
"211",2,"DF",2,0,3,0,155,0,0
"212",6,"FW",0,1,6,1,25,4,0
"213",0,"FW",0,0,2,0,7,3,0
"214",4,"FW",1,0,2,1,51,10,0
"215",5,"MF",1,7,6,3,153,18,0
"216",0,"MF",0,2,1,0,9,0,0
"217",1,"FW",0,0,1,0,12,4,1
"218",0,"DF",0,0,0,0,16,0,0
"219",2,"MF",0,0,0,0,22,1,0
"220",0,"MF",0,0,0,0,1,0,0
"221",3,"DF",0,1,0,0,29,2,0
"222",2,"FW",0,0,5,0,32,4,0
"223",4,"MF",2,1,5,0,44,10,0
"224",1,"DF",1,0,1,0,68,0,0
"225",0,"DF",1,1,0,0,45,4,0
"226",3,"MF",2,1,6,4,85,6,0
"227",2,"FW",0,0,8,0,29,9,0
"228",6,"MF",1,5,3,1,202,5,0
"229",0,"GK",0,0,0,0,10,0,0
"230",5,"MF",2,5,4,1,91,1,0
"231",0,"MF",1,1,0,0,54,0,0
"232",3,"GK",0,0,0,0,51,0,0
"233",2,"DF",2,1,0,0,66,5,0
"234",3,"FW",1,1,8,0,31,6,0
"235",9,"FW",3,4,5,7,124,8,1
"236",0,"MF",1,0,0,0,1,0,0
"237",1,"FW",0,0,1,0,15,2,0
"238",9,"FW",1,1,7,4,87,19,0
"239",4,"DF",4,2,10,2,262,2,0
"240",2,"DF",3,1,2,0,128,0,0
"241",4,"MF",1,3,1,0,48,5,1
"242",0,"DF",3,1,2,0,34,0,0
"243",6,"MF",2,2,0,2,72,7,0
"244",1,"MF",0,0,1,0,6,1,0
"245",6,"FW",1,0,10,1,28,5,0
"246",0,"GK",0,0,0,0,29,0,0
"247",9,"MF",0,0,3,0,128,2,0
"248",1,"DF",0,0,0,0,51,1,0
"249",2,"MF",3,1,2,0,26,1,0
"250",20,"FW",1,5,7,5,76,20,1
"251",3,"DF",2,0,1,3,67,6,0
"252",1,"DF",0,0,0,0,15,2,0
"253",0,"GK",0,0,0,0,16,0,0
"254",0,"DF",0,0,0,0,7,0,0
"255",0,"GK",0,0,0,0,40,0,0
"256",3,"MF",1,0,6,3,66,6,0
"257",6,"MF",0,3,0,0,201,5,0
"258",0,"FW",0,0,2,1,11,2,0
"259",3,"MF",2,2,1,0,54,4,0
"260",1,"DF",2,0,4,0,150,0,0
"261",2,"DF",10,3,2,0,163,0,0
"262",7,"MF",1,1,4,1,97,9,0
"263",4,"FW",0,0,4,6,29,9,0
"264",6,"DF",0,0,0,0,85,2,0
"265",NA,"FW",NA,NA,NA,NA,NA,NA,NA
"266",15,"FW",1,2,20,9,97,14,0
"267",2,"MF",0,0,0,1,92,2,0
"268",5,"FW",1,1,10,1,40,10,0
"269",2,"MF",0,0,0,0,16,1,0
"270",11,"FW",2,1,25,3,138,22,0
"271",2,"FW",0,1,6,1,42,6,0
"272",5,"FW",2,1,5,3,61,4,0
"273",3,"MF",1,3,3,0,97,4,0
"274",0,"DF",1,1,1,0,32,0,0
"275",3,"MF",3,3,7,2,48,4,0
"276",1,"DF",2,0,2,0,165,0,0
"277",22,"MF",0,0,28,19,126,29,0
"278",1,"FW",0,0,3,0,13,4,0
"279",0,"DF",0,0,0,0,3,0,0
"280",1,"DF",0,0,4,0,234,0,0
"281",0,"FW",0,0,0,0,4,1,0
"282",0,"DF",2,0,0,0,2,0,0
"283",1,"DF",2,1,2,1,61,0,0
"284",1,"MF",0,0,2,0,14,4,0
"285",3,"MF",0,0,2,2,14,0,0
"286",3,"MF",0,1,2,2,27,3,0
"287",1,"MF",0,0,0,0,4,1,0
"288",2,"MF",0,1,7,4,57,11,0
"289",1,"FW",1,0,1,0,19,2,0
"290",7,"DF",5,4,3,3,76,8,0
"291",0,"MF",0,0,2,1,22,7,0
"292",3,"MF",1,1,1,0,114,1,0
"293",5,"DF",2,1,4,0,197,0,0
"294",4,"DF",4,3,3,0,111,16,0
"295",1,"MF",1,0,0,0,27,1,0
"296",0,"MF",1,2,0,0,10,0,0
"297",2,"DF",1,1,1,0,134,0,0
"298",3,"FW",2,5,1,6,129,9,0
"299",1,"FW",0,0,1,0,14,3,0
"300",1,"DF",1,0,5,1,339,0,0
"301",4,"FW",0,0,2,0,18,1,0
"302",1,"FW",0,1,11,0,58,16,0
"303",5,"MF",0,1,2,1,53,2,0
"304",7,"FW",1,2,0,1,42,6,0
"305",2,"MF",2,2,2,0,104,5,0
"306",0,"FW",0,0,2,0,3,1,0
"307",2,"GK",0,0,0,0,92,0,0
"308",0,"MF",0,2,1,0,32,1,0
"309",11,"DF",2,4,1,2,305,11,0
"310",5,"DF",1,0,4,1,54,9,0
"311",2,"FW",0,0,5,2,35,14,0
"312",20,"MF",3,2,4,1,207,11,1
"313",5,"DF",4,0,3,1,183,11,0
"314",0,"MF",1,1,0,0,40,2,0
"315",1,"DF",3,1,4,0,134,2,0
"316",2,"DF",1,2,6,4,170,6,0
"317",7,"FW",2,2,8,2,104,12,0
"318",2,"FW",0,1,2,0,34,3,0
"319",3,"MF",1,1,1,1,25,1,0
"320",4,"DF",2,3,2,1,254,0,0
"321",2,"DF",4,0,1,0,14,0,0
"322",12,"MF",2,6,11,6,197,20,0
"323",3,"DF",3,0,2,2,109,0,0
"324",3,"FW",1,0,12,0,55,11,0
"325",7,"MF",3,2,1,0,168,1,0
"326",7,"FW",1,2,2,2,47,6,0
"327",10,"MF",3,3,4,2,68,8,0
"328",1,"DF",5,4,0,3,182,2,0
"329",7,"FW",0,1,11,0,36,7,0
"330",4,"DF",10,2,3,0,140,0,0
"331",1,"MF",0,0,0,0,18,1,0
"332",0,"DF",5,1,0,1,173,1,0
"333",0,"FW",0,0,4,1,24,4,0
"334",0,"DF",1,1,4,0,105,0,0
"335",2,"MF",0,0,1,1,6,0,0
"336",9,"MF",6,0,4,2,47,3,0
"337",3,"FW",0,0,2,0,6,1,0
"338",3,"MF",0,2,2,1,83,4,0
"339",6,"FW",0,1,5,1,47,5,0
"340",0,"FW",1,1,0,0,6,0,0
